(461,0)(360.091,1233.7)(695.402,-373.618)(-481.643,-503.596)(-358.255,590.347)(704.089,199.76)(2.56427,-810.658)(-891.89,251.02)(572.242,921.477)
(2797,0)(9344.53,3267.15)(-5935.81,-5264.84)(4439.69,7068.71)(-2724.85,-9476.32)(-2875.83,10967)(19911.9,-1203.58)(-58044,-64246.7)(87644.8,323718)
(320,0)(1368.7,596.562)(-1288.77,-1541.35)(824.743,3313.64)(1337.64,-6363.08)(-8121.42,10454.2)(25307.7,-12360.6)(-61839,-263.381)(124292,62389.1)
(835,0)(2675.47,1539.88)(-865.32,-2619.37)(-909.84,3042.43)(3241.94,-2623.91)(-5751.88,483.026)(7198.3,3952.05)(-5647.48,-10442.3)(-1062.82,17275)
(444,0)(1894.12,339.993)(-2254.96,-517.353)(3328.46,1070.28)(-5447.3,-2324.02)(9421.03,5045.05)(-16823.3,-10896.1)(30656.4,23419.2)(-56647.6,-50124.2)
(1198,0)(3752.09,923.433)(-2627.16,-1421.71)(2308.75,2134.52)(-2026.96,-3140.67)(1382.28,4497.11)(143.096,-6092.63)(-3454.37,7253.73)(9774.68,-5848.37)
(231,0)(809.901,240.523)(-685.982,-493.056)(636.255,877.429)(-474.181,-1488.27)(-28.8041,2403.81)(1265.85,-3645.53)(-3902.83,5047.17)(8978.36,-5969.9)
(371,0)(1098.41,387.674)(-610.492,-622.065)(334.862,811.975)(-4.80751,-1000.22)(-447.659,1124.44)(1046.62,-1103.48)(-1777.18,826.774)(2566.14,-161.793)
(224,0)(781.937,111.564)(-729.06,-149.34)(863.968,259.424)(-1139.7,-460.459)(1588.74,815.499)(-2284.9,-1439.35)(3346.93,2532.17)(-4954.16,-4441.07)
(372,0)(1101.09,182.853)(-729.915,-183.424)(663.239,273.277)(-664.315,-388.22)(689.084,549.015)(-717.546,-770.53)(729.169,1072.1)(-696.5,-1477.23)
(10546,0)(14741.1,11953.4)(-1654.83,-7401.44)(-1270.71,3433.86)(2455.17,-1392.35)(-4994.24,-2543.67)(3605.66,12618.6)(10775.2,-22642.1)(-38513.4,17067.8)
(1728,0)(3627.25,3101.65)(-523.364,-3137.2)(-1464.96,2462.59)(2740.74,-934.878)(-3000.11,-1256.96)(1665.31,3752.36)(2161.29,-5593.58)(-9199.74,4001.31)
(327,0)(787.408,696.227)(-109.401,-938.806)(-624.332,887.267)(1361.12,-316.454)(-1686.96,-924.069)(920.905,2606.12)(1559.44,-3785.88)(-5588.96,2694.97)
(408,0)(765.377,866.497)(212.001,-806.024)(-719.34,298.864)(712.154,409.948)(-119.922,-913.257)(-759.081,754.571)(1260.94,174.481)(-753.67,-1340.2)
(445,0)(1074.58,707.052)(-489.028,-829.034)(22.4332,928.902)(474.65,-892.978)(-984.527,633.954)(1404.36,-90.3383)(-1567.16,-740.246)(1272.96,1758.72)
