(-0.556271,-2.37496),(27249.5,0)
(-0.871576,-2.6943),(21731.4,0)
(-0.545025,-2.57304),(24318.6,0)
(-0.385411,-2.81001),(21979.4,0)
(-0.697745,-2.30212),(27914.4,0)
(-1.48051,-2.69091),(19277.8,0)
(-0.76576,-2.31955),(27230.6,0)
(-1.24695,-2.5103),(21994.2,0)
(-1.1394,-2.65897),(21027.3,0)
(-0.815288,-3.02863),(18913.9,0)
(-2.05601,-2.34185),(18728.1,0)
(-0.914573,-2.82741),(20311.9,0)
(-1.08527,-2.49917),(22942.5,0)
(-0.8041,-2.54992),(23619.3,0)
(-0.509754,-2.94227),(20354.5,0)
(-0.349988,-3.15507),(18812.5,0)
(-1.21727,-2.72313),(20130.3,0)
(-0.258258,-2.54464),(25989.9,0)
(-1.60793,-2.94347),(17104.7,0)
(-2.30857,-2.63816),(15923.3,0)
(-0.603258,-2.61672),(23556.1,0)
(-1.00517,-2.36805),(25078.8,0)
(-0.540061,-2.63299),(23571.6,0)
(-0.880444,-2.37817),(25618.1,0)
(-0.30197,-3.68429),(15352.3,0)
(-0.45055,-2.35849),(28032.2,0)
(-0.578183,-2.82236),(21345.3,0)
(-0.458446,-3.267),(17806.3,0)
(-2.20536,-2.31412),(18007.2,0)
(-0.263533,-3.01153),(20214.3,0)
(-0.516621,-2.46574),(25946,0)
(-1.32236,-2.44276),(22296.8,0)
(-1.96471,-2.64222),(17409.6,0)
(-0.660384,-2.50767),(24758,0)
(-1.15756,-2.41114),(23613.3,0)
(-0.609929,-2.48323),(25307.1,0)
(-1.27557,-2.31058),(24175,0)
(-0.430669,-2.41063),(27196.1,0)
(-0.629205,-2.69017),(22604,0)
(-0.789847,-3.33797),(16815.4,0)
(-0.564561,-2.57199),(24261.7,0)
(-0.858837,-2.42464),(25037.6,0)
(-0.522562,-2.60738),(23952.6,0)
(-0.607366,-2.60458),(23691.9,0)
(-1.09063,-2.29988),(25620.1,0)
(-1.25155,-3.10551),(17236.3,0)
(-0.316579,-2.97432),(20453.6,0)
(-0.391288,-2.29887),(29562.5,0)
(-0.434067,-2.70799),(23004,0)
(-1.6947,-2.66646),(18492.5,0)
(-0.363992,-2.29745),(29746.7,0)
(-0.774205,-3.00548),(19196.9,0)
(-0.891387,-2.42701),(24841.3,0)
(-0.813403,-2.51748),(23988.8,0)
(-0.583023,-2.47195),(25581.8,0)
(-0.352149,-2.45739),(26778.2,0)
(-1.13836,-3.10215),(17563.9,0)
(-1.26558,-2.3908),(23220.4,0)
(-1.0391,-2.64549),(21578.1,0)
(-0.444184,-2.5501),(24999.9,0)
(-2.40808,-2.46856),(16222.5,0)
(-0.655171,-2.68509),(22576.7,0)
(-0.768734,-2.7894),(21124.1,0)
(-0.808687,-2.39975),(25655.6,0)
(-0.349599,-2.87362),(21387,0)
(-0.813115,-2.3521),(26395.6,0)
